date,lat,lon,sst_celsius,lss_class
2025-07-17,29.2200,127.5500,28.77,1
2025-07-17,29.2200,127.5900,28.72,1
2025-07-17,29.2300,127.5900,28.72,1
2025-07-17,29.2900,127.4900,28.68,1
2025-07-17,29.2900,127.5100,28.76,1
2025-07-17,29.2900,127.5900,28.74,1
2025-07-17,29.3300,127.6600,28.82,1
2025-07-17,29.3400,127.6400,28.80,1
2025-07-17,29.3500,127.6000,28.78,1
2025-07-17,29.3700,127.6000,28.74,1
2025-07-17,29.3900,127.7000,28.96,1
2025-07-17,29.4100,127.6800,28.97,1
2025-07-17,29.4200,127.6800,28.92,1
2025-07-17,29.4300,127.6900,28.92,1
2025-07-17,29.5700,127.7900,28.80,1
2025-07-17,29.7000,127.9300,28.94,1
2025-07-17,29.7000,127.9700,28.92,1
2025-07-17,29.7200,127.9900,28.89,1
2025-07-17,29.8500,128.6900,29.36,1
2025-07-17,29.8700,128.0700,28.67,1
2025-07-17,30.0600,128.1700,28.40,1
2025-07-17,30.1000,127.9600,28.14,1
2025-07-17,30.1100,121.7500,28.80,1
2025-07-17,30.1100,121.7600,28.68,1
2025-07-17,30.1200,121.7300,28.97,1
2025-07-17,30.1200,121.7500,28.78,1
2025-07-17,30.1200,121.7600,28.66,1
2025-07-17,30.1200,121.7700,28.56,1
2025-07-17,30.1300,121.7400,28.85,1
2025-07-17,30.1300,121.7500,28.77,1
2025-07-17,30.1300,121.7600,28.64,1
2025-07-17,30.1300,121.7700,28.56,1
2025-07-17,30.1400,121.7500,28.79,1
2025-07-17,30.1400,121.7600,28.67,1
2025-07-17,30.1400,121.7700,28.60,1
2025-07-17,30.1400,127.9900,28.11,1
2025-07-17,30.1500,121.7400,28.86,1
2025-07-17,30.1500,121.7500,28.79,1
2025-07-17,30.1500,121.7600,28.68,1
2025-07-17,30.1500,121.7700,28.61,1
2025-07-17,30.1600,121.7400,28.84,1
2025-07-17,30.1600,121.7500,28.78,1
2025-07-17,30.1600,121.7600,28.70,1
2025-07-17,30.1600,121.7800,28.52,1
2025-07-17,30.1600,121.8400,28.01,1
2025-07-17,30.1700,121.7400,28.85,1
2025-07-17,30.1700,121.7500,28.79,1
2025-07-17,30.1700,121.7600,28.72,1
2025-07-17,30.1700,121.7800,28.54,1
2025-07-17,30.1700,121.8400,28.03,1
2025-07-17,30.1700,121.8500,28.01,1
2025-07-17,30.1700,127.9300,28.00,1
2025-07-17,30.1800,121.7500,28.80,1
2025-07-17,30.1800,121.7600,28.72,1
2025-07-17,30.1800,121.7700,28.66,1
2025-07-17,30.1800,121.7800,28.53,1
2025-07-17,30.1900,121.7600,28.72,1
2025-07-17,30.1900,121.7700,28.65,1
2025-07-17,30.1900,121.7800,28.58,1
2025-07-17,30.1900,121.8400,28.03,1
2025-07-17,30.2000,121.8400,28.05,1
2025-07-17,30.2000,121.8500,28.01,1
2025-07-17,30.2000,127.9900,28.12,1
2025-07-17,30.2000,128.1600,28.22,1
2025-07-17,30.2100,121.8400,28.06,1
2025-07-17,30.2100,121.8500,28.02,1
2025-07-17,30.2100,128.1600,28.22,1
2025-07-17,30.2200,121.8400,28.08,1
2025-07-17,30.2200,121.8500,28.03,1
2025-07-17,30.2300,121.8500,28.07,1
2025-07-17,30.2400,128.2700,28.29,1
2025-07-17,30.2700,121.9100,28.07,1
2025-07-17,30.2700,121.9200,28.01,1
2025-07-17,30.2800,121.9100,28.11,1
2025-07-17,30.2800,121.9200,28.05,1
2025-07-17,30.2800,121.9300,28.02,1
2025-07-17,30.2900,121.9000,28.20,1
2025-07-17,30.2900,121.9100,28.15,1
2025-07-17,30.2900,121.9200,28.09,1
2025-07-17,30.2900,121.9300,28.05,1
2025-07-17,30.2900,121.9400,28.04,1
2025-07-17,30.3000,121.8800,28.33,1
2025-07-17,30.3000,121.8900,28.28,1
2025-07-17,30.3000,121.9000,28.25,1
2025-07-17,30.3000,121.9300,28.13,1
2025-07-17,30.3200,128.2200,28.22,1
2025-07-17,30.3400,121.8700,28.54,1
2025-07-17,30.3400,122.0200,28.05,1
